SAMPLE,NUMBER,SiO2,FeO,MgO,CaO,NiO,MnO,TOTAL,Fo
D2-4_002,55,39.5573,14.6113,44.5952,0.304098,0.280276,0.198629,99.5616,84.4735
D2-4_002,55,39.6517,14.7386,44.5409,0.307101,0.278045,0.206833,99.7491,84.3433
,,39.57276667,14.67773333,44.6034,0.307763667,0.280507,0.204837333,99.6651,84.41633333
D2-4_003,56,39.7958,13.939,45.3486,0.334047,0.282137,0.19985,99.8994,85.2928
D2-4_003,56,39.6652,13.8896,45.2672,0.340218,0.279641,0.193411,99.6361,85.3148
D2-4_003,56,39.9188,13.7336,45.5776,0.342629,0.283999,0.192753,100.049,85.5405
,,39.79326667,13.85406667,45.3978,0.338964667,0.281925667,0.195338,99.8615,85.3827
D2-4_004,57,40.0449,11.6318,47.1746,0.284272,0.30847,0.161825,99.6058,87.8486
D2-4_004,57,40.1133,11.5706,47.2,0.282017,0.320045,0.162816,99.6793,87.9106
D2-4_004,57,40.2058,11.8572,47.2422,0.275245,0.310505,0.152341,100.063,87.6578
,,40.12133333,11.68653333,47.2056,0.280511333,0.313006667,0.158994,99.7827,87.80566667
D2-4_005,58,39.8947,13.1975,45.9945,0.317284,0.296438,0.183846,99.9015,86.1352
D2-4_005,58,39.9387,13.3895,45.9694,0.31791,0.307976,0.173557,100.109,85.9551
D2-4_005,58,39.7376,13.1274,45.7613,0.321455,0.292942,0.191483,99.4478,86.138
,,39.857,13.23813333,45.9084,0.318883,0.299118667,0.182962,99.81943333,86.0761
D2-4_006,59,40.2699,10.1332,48.34,0.294318,0.346555,0.147339,99.5659,89.4779
D2-4_006,59,40.3663,10.1284,48.2331,0.293662,0.352161,0.151368,99.5558,89.4614
D2-4_006,59,40.4066,10.243,48.3326,0.297638,0.346412,0.143842,99.7962,89.3745
D2-4 ave,,40.3476,10.1682,48.3019,0.295206,0.348376,0.147516333,99.6393,89.43793333
D2-4_007,60,40.1626,12.3129,46.8876,0.229427,0.272873,0.185469,100.051,87.1599
D2-4_007,60,40.1386,12.2925,46.8128,0.232686,0.281065,0.154525,99.9123,87.1605
D2-4_007,60,40.243,12.1966,46.9185,0.231229,0.282451,0.174138,100.046,87.273
,,40.1814,12.26733333,46.87296667,0.231114,0.278796333,0.171377333,100.0031,87.1978
D2-4_008,61,40.3305,10.8779,47.7912,0.301657,0.308684,0.160449,99.772,88.677
D2-4_008,61,40.3354,10.966,47.847,0.297168,0.322689,0.163088,99.9312,88.6076
D2-4_008,61,40.2574,10.9204,47.5943,0.306985,0.30999,0.167223,99.5573,88.5962
,,40.30776667,10.92143333,47.74416667,0.301936667,0.313787667,0.163586667,99.7535,88.62693333
D2-4_009,62,40.2384,11.1841,47.3908,0.318768,0.314188,0.16409,99.6115,88.3088
D2-4_009,62,40.3568,11.3351,47.3802,0.319497,0.315664,0.164143,99.8915,88.1673
D2-4_009,62,40.4426,11.3049,47.2102,0.318462,0.319299,0.165473,99.7609,88.1576
,,40.34593333,11.2747,47.32706667,0.318909,0.316383667,0.164568667,99.75463333,88.21123333
D2-4_010,63,39.6767,14.4025,45.0526,0.303962,0.292398,0.199342,99.9522,84.7934
D2-4_010,63,39.7898,14.2637,44.9381,0.305096,0.294804,0.197279,99.8022,84.8853
D2-4_010,63,39.8095,14.2626,44.7725,0.301625,0.306307,0.196228,99.6556,84.8388
,,39.75866667,14.3096,44.92106667,0.303561,0.297836333,0.197616333,99.80333333,84.83916667
